+--------------------+------------------------+--------------------+---------------------+--------------------+---------------------+---------------------+---------------------+
|   Currency Name    |     Currency Price     | Currency 1h Change | Currency 24h Change | Currency 7d Change | Currency 30d Change | Currency 60d Change | Currency 90d Change |
|       Maker        |   1368.8560333250816   |     0.12258845     |      0.1100545      |     7.78659543     |     -3.15996257     |      2.36252928     |     27.83758504     |
|      Arbitrum      |   1.0357715032920163   |     0.84488427     |     -0.50712689     |    -9.40065227     |     29.84398829     |     21.91215489     |      4.50639156     |
|        Aave        |   89.66879434761873    |     0.56763139     |      1.91700822     |    -6.69871605     |      36.3456755     |     39.10091279     |      60.6691543     |
|     The Graph      |  0.13466656999651533   |    -0.52272617     |      6.56371086     |    -0.69034814     |     67.09568787     |     48.68635899     |      46.9788032     |
|       Render       |   3.3256865578285892   |    -0.14599959     |     -2.25645068     |     36.4047155     |     68.74695738     |     106.67138514    |     142.54092198    |
|       Quant        |   100.1270524678681    |     0.59880953     |     -1.06798258     |    -5.15588261     |     15.46697022     |     10.39742496     |      0.34707669     |
|     MultiversX     |   45.46406735258525    |     0.36183201     |      4.69387165     |     3.72367621     |     83.31971184     |     77.07175435     |     69.89229235     |
|     FTX Token      |   3.368896145156745    |     0.15187572     |      2.03917275     |     7.67510073     |     222.5485135     |     226.77104637    |     213.1225925     |
|      Algorand      |  0.13773349089333017   |     0.8477161      |      2.39286842     |    -3.53361811     |     51.69120145     |     39.30778212     |      44.7165678     |
|        Flow        |   0.6771452611699573   |     0.40030147     |      0.32937377     |    -2.33120689     |     52.33872642     |     51.41060469     |     48.92801215     |
|      Celestia      |   7.0352494914336425   |    -0.39253047     |     -0.38600875     |     49.5084674     |     234.89716166    |     234.89716166    |     234.89716166    |
|   Theta Network    |   0.9730985535511842   |     1.01357088     |      5.41766944     |    -1.79964133     |     65.84197528     |     63.37138846     |     57.88410238     |
|     Synthetix      |   3.336175529895334    |     2.76890723     |     13.67560403     |    15.22819775     |     70.16272986     |     52.55977463     |     58.51195369     |
|     Bitcoin SV     |    47.6287371470316    |     0.56713776     |      0.98559203     |    -4.53151059     |     -9.38617266     |     50.85312526     |     53.88070569     |
|       Fantom       |  0.32739808853123586   |     1.31349062     |      -0.7418961     |    -1.37733367     |      80.8172834     |     69.13532289     |     59.99824154     |
|       Stacks       |   0.6378404993832657   |     0.78122332     |      0.70774652     |    -4.21015809     |      4.17788183     |     31.23962395     |     34.81788394     |
|   Axie Infinity    |   6.197025687689622    |     1.6386669      |      1.89581705     |    -1.36668702     |     46.85510119     |     36.98379215     |     26.83840665     |
|    The Sandbox     |  0.41161848284833547   |     0.63887514     |      1.61412393     |    -7.19691345     |      39.985803      |     37.43847569     |     26.38829374     |
|       Tezos        |   0.8477927183436105   |     0.46108768     |      0.96185945     |    -8.16624311     |     31.68304696     |     25.59444347     |     22.44139833     |
|    Decentraland    |  0.42325824498927633   |     0.50760135     |      1.26669454     |    -9.38441908     |     47.88750496     |     42.10668455     |      40.3758577     |
|        EOS         |   0.7142655033846331   |     0.60312864     |      0.12226542     |    -2.91405952     |     30.60315088     |     23.51137144     |     23.22726735     |
